00000001	PR_NULL PidTagNull
0000000a	.Unresolved
00010003	PR_ACKNOWLEDGEMENT_MODE PidTagAcknowledgementMode
00010003	PR_CERT_PROP_VERSION
00010003	PR_CONVERT_RTF_AS_TEXT_CPID
00010003	PR_CONVERT_RTF_CPID
00010003	PR_NAMEID_BUCKET_COUNT
00010048	.ClientActivityId
00010102	.ClientContext
00010102	.TestTest
00010102	PR_EMS_TEMPLATE_BLOB PidTagTemplateData
00020003	PR_CONVERT_HTML_AS_TEXT_CPID
00020003	PR_CONVERT_HTML_CPID
0002000b	PR_ALTERNATE_RECIPIENT_ALLOWED PidTagAlternateRecipientAllowed .AlternateRecipientAllowed
0002001f	.ClientComponentName
00020102	PR_CERT_ASYMETRIC_CAPS
00030003	PR_CONVERT_TEXT_CPID
0003000e	PR_CERT_KEYEX_CERTIFICATE
0003001f	.ClientProtocolName
00030102	PR_AUTHORIZING_USERS PidTagAuthorizingUsers
00030102	PR_CERT_KEYEX_CERTIFICATE_BIN
00040003	PR_CONVERT_MSG_CPID
0004000e	PR_CERT_CHAIN_CERTIFICATE
0004001f	.ClientActionString
0004001f	PR_AUTO_FORWARD_COMMENT PidTagAutoForwardComment
00040102	PR_CERT_CHAIN_CERTIFICATE_BIN
00040102	PR_EMS_SCRIPT_BLOB PidTagScriptData
00050003	PR_CONVERT_ATTACHMENT
0005000b	PR_AUTO_FORWARDED PidTagAutoForwarded
0005001f	.ClientActionContext
00060003	PR_CERT_MESSAGE_ENCODING
00060003	PR_CONVERT_TAB_LENGTH
0006001f	.ClientThrottlingPriority
00060102	PR_CONTENT_CONFIDENTIALITY_ALGORITHM_ID PidTagContentConfidentialityAlgorithmId
00070003	.TestCaseId
0007000b	PR_CONVERT_FIXFONT
00070102	PR_CONTENT_CORRELATOR PidTagContentCorrelator
00080003	PR_CONVERT_INPUT_ENTITIES
0008000e	PR_CERT_SIGN_CERTIFICATE
0008001f	.SideEffectClass
